assignment,label,rep,MSE
trig,Trigonometric,76,7.634532440210793
trig,Trigonometric,77,2.810505232025003
trig,Trigonometric,78,3.532358210843479
trig,Trigonometric,79,4.872443215158988
trig,Trigonometric,80,6.594229598437699
trig,Trigonometric,81,4.035166402308476
trig,Trigonometric,82,6.053554012270731
trig,Trigonometric,83,4.490865083331717
trig,Trigonometric,84,5.827309159881063
trig,Trigonometric,85,6.822025159459491
trig,Trigonometric,86,4.668782674195454
trig,Trigonometric,87,4.296243461303346
trig,Trigonometric,88,6.011087688367803
trig,Trigonometric,89,7.777917121263314
trig,Trigonometric,90,5.67930401625441
trig,Trigonometric,91,5.105309488682786
trig,Trigonometric,92,5.54805900493296
trig,Trigonometric,93,4.331663578112951
trig,Trigonometric,94,5.066883686153187
trig,Trigonometric,95,4.734928797457266
trig,Trigonometric,96,5.879561009695106
trig,Trigonometric,97,6.265330617045569
trig,Trigonometric,98,2.7434341687380686
trig,Trigonometric,99,6.100751665102187
